,plateifu,mangaid,objra,objdec,T,type,TType-cat,VI_morph,WHAN_Class
70,8483-3701,1-93375,245.4543652,47.05211803,-3.433,EII,Huertas,S0,QB
71,8484-3702,1-94027,247.7308648,45.88004946,2.325,Sab,Huertas,S0,QBSFB
72,8486-6102,1-134020,238.0468936,48.04391629,3.107,Sab,Huertas,S0,PSF
73,8550-3704,1-211311,248.4263858,39.18511968,-1.137,S0,Huertas,S0,SFBQB
74,8551-9102,1-247882,235.6693623,45.43208579,3.456,Sab,Huertas,S0,PSF
75,8553-12705,1-90901,235.4638824,55.46785355,2.02,Sab,Huertas,S0,SFB
76,8553-6103,1-632698,231.5029537,56.82681933,-1.782,S0,Huertas,S0,QB
77,8554-3703,1-419345,183.3968944,35.80017552,-1.449,S0,Huertas,S0,QB
78,8566-1902,1-338593,113.4172898,41.68527786,-0.22,S0,Huertas,S0,LSN
79,8568-3701,1-392010,154.6361632,36.26215187,-1.25,S0,Huertas,S0,QB
80,8591-3702,1-245088,212.6120868,54.61957409,0.019,S0,Huertas,S0,QB
81,8592-3701,1-246203,220.8531234,52.61452709,-1.745,S0,Huertas,S0,QB
82,8595-6104,1-246027,219.3966141,51.58313409,-3.357,EII,Huertas,S0,SFBQB
83,8597-1902,1-198125,223.3912441,48.69878971,-0.059,S0,Huertas,S0,QB
84,8597-6102,1-246535,225.8073743,48.89887128,-3.709,EII,Huertas,S0,QB
85,8600-1901,1-633729,242.5852246,43.00964346,-0.646,S0,Huertas,S0,PSF
86,8603-12703,1-135133,247.2826464,40.6650475,3.65,Sab,Huertas,S0,QB
87,8603-9101,1-135134,247.2256243,40.86661117,-1.966,S0,Huertas,S0,LSN
88,8604-9101,1-594505,247.3333271,39.42899256,-3.779,EII,Huertas,S0,LSN
89,8606-6103,1-95657,253.6327729,37.63138859,-3.199,EII,Huertas,S0,QB
90,8611-3701,1-25676,261.8412456,59.64380008,-3.911,EII,Huertas,S0,QB
91,8611-3702,1-25659,261.4639383,60.1941171,-2.097,S0,Huertas,S0,SFBQB
92,8615-6101,1-179929,319.5945647,0.291590354,0.708,Sab,Huertas,S0,LSN
93,8618-9101,1-596095,318.0865638,11.22023604,3.226,Sab,Huertas,S0,SFBQB
94,8624-6103,1-25707,261.9542033,58.69833238,2.309,Sab,Huertas,S0,PSF
95,8625-3703,1-23927,259.3763072,57.06810325,2.429,Sab,Huertas,S0,SFBQB
96,8626-6104,1-24416,263.033161,56.87874753,2.172,Sab,Huertas,S0,QB
97,8626-9102,1-634800,263.43932,56.708536,4.705039024,Scd,SDSS-DeepLearning,S0,QB
98,8711-9101,1-378881,117.4684414,50.77123161,-1.904,S0,Huertas,S0,LSN
99,8713-1901,1-43541,116.8477865,39.19593129,-1.386,S0,Huertas,S0,QB
100,8718-3701,1-44113,120.2064094,44.69117049,-2.049,S0,Huertas,S0,QB
101,8719-1901,1-548191,121.17614,46.733424,-2.143375397,S0,SDSS-DeepLearning,S0,LSN
102,8719-3704,1-44700,121.4079898,46.7074016,2.046,Sab,Huertas,S0,LSN
103,8720-3702,1-45399,123.0706714,49.37745577,-3.463,EII,Huertas,S0,QB
104,8724-3701,1-47272,131.7931772,53.83060813,-3.679,EII,Huertas,S0,LSN
105,8725-3704,1-73029,125.7241409,45.71877191,-1.369,S0,Huertas,S0,QB
106,8726-6102,1-217686,116.647649,22.4160586,0.799,Sab,Huertas,S0,QB
107,8931-1901,1-456371,194.016556,27.1504442,1.085,Sab,Huertas,S0,LSN
108,8931-6103,1-591183,194.8062275,27.77460201,-2.027,S0,Huertas,S0,LSN
109,8932-6104,1-404171,195.5361048,28.38709153,-2.014,S0,Huertas,S0,SFBQB
110,8934-12705,1-403685,196.8173486,28.28392205,-0.797,S0,Huertas,S0,LSN
111,8934-3703,1-457122,195.1214583,26.67535657,-2.013,S0,Huertas,S0,LSN
112,8934-6104,1-404135,196.5229603,28.59295396,-3.96,EII,Huertas,S0,LSN
113,8935-1902,1-457206,196.4535719,28.10652776,-1.89,S0,Huertas,S0,LSN
114,8936-9102,1-152777,117.116454,30.06909616,2.384,Sab,Huertas,S0,QB
115,8939-1902,1-384554,126.398536,23.95919233,2.613,Sab,Huertas,S0,PSF
116,8940-3701,1-218077,120.2511759,24.63987389,-1.743,S0,Huertas,S0,QB
117,8941-1902,1-163917,120.3116394,26.33317649,-3.469,EII,Huertas,S0,LSN
118,8943-12701,1-392720,156.0250586,35.8187952,2.76,Sab,Huertas,S0,SFBQB
119,8945-1901,1-279544,172.3657294,47.69629348,-2.672,S0,Huertas,S0,QB
120,8946-3701,1-279147,168.9577269,46.31956445,-1.299,S0,Huertas,S0,SFBQB
121,8946-6102,1-279532,170.8082726,46.99780245,2.505,Sab,Huertas,S0,SFB
122,8948-1901,1-587930,165.73913,50.670235,-2.504583836,S0,SDSS-DeepLearning,S0,QB
123,8948-3704,1-148893,166.4085637,50.35042308,-2.662,S0,Huertas,S0,QB
124,8949-6102,1-623758,195.2946151,27.80288541,-1.569,S0,Huertas,S0,LSN
125,8950-12703,1-456610,194.874839,27.95644971,-1.949,S0,Huertas,S0,LSN
126,8950-1902,1-456308,194.8071141,27.40254478,-3.518,EII,Huertas,S0,LSN
127,8952-3704,1-458209,206.0857212,26.08419205,-1.788,S0,Huertas,S0,QB
128,8978-6103,1-94422,250.4532032,41.81873748,2.097,Sab,Huertas,S0,QB
129,8979-1901,1-248443,242.3186184,41.74572779,-3.432,EII,Huertas,S0,QB
130,8980-3702,1-236045,225.6764531,43.24241566,-0.398,S0,Huertas,S0,QB
131,8982-1901,1-458044,202.0570284,26.45654088,-1.739,S0,Huertas,S0,QB
132,8985-3702,1-420908,204.0826618,32.87509535,1.599,Sab,Huertas,S0,PSF
133,8989-3701,1-174979,176.9543568,50.40535022,-1.836,S0,Huertas,S0,QB
134,8990-1901,1-174623,172.9290515,49.28323849,1.727,Sab,Huertas,S0,LSN
135,8990-6102,1-174826,173.6790713,49.0908237,-1.173,S0,Huertas,S0,LSN
136,8990-6103,1-589092,174.72712,49.66036,4.143211365,Scd,SDSS-DeepLearning,S0,SFBQB
137,8992-1902,1-149501,173.721052,51.09146236,2.765,Sab,Huertas,S0,PSF
138,8992-3701,1-149496,172.6219317,50.76527092,-2.313,S0,Huertas,S0,QB
139,8996-3702,1-187429,172.3306157,54.12608477,-0.62,S0,Huertas,S0,LSN
140,8996-3704,1-149709,173.4128685,52.67458671,-1.718,S0,Huertas,S0,QB
141,8997-3703,1-149589,170.7234497,51.3417778,2.646,Sab,Huertas,S0,QB
142,8999-12702,1-148652,163.9617276,49.67810333,0.066,S0,Huertas,S0,QB
143,8999-6101,1-148649,164.0004849,49.952908,3.017,Sab,Huertas,S0,PSF
144,9026-1902,1-94773,249.3024271,44.08551071,-2.014,S0,Huertas,S0,SFBQB
145,9026-9102,1-94720,250.8636141,43.35318046,0.136,S0,Huertas,S0,QB
146,9033-6102,1-198007,223.0146622,47.07780105,-0.739,S0,Huertas,S0,QB
147,9035-3704,1-247675,236.6776249,43.37247911,-1.527,S0,Huertas,S0,SFBQB
148,9037-3704,1-199454,235.1766583,43.75125249,-3.215,EII,Huertas,S0,LSN
149,9039-9102,1-593805,230.5224906,33.14859447,-3.506,EII,Huertas,S0,LSN
150,9041-12704,1-264488,237.151494,29.00190102,-2.771,S0,Huertas,S0,QB
