,plateifu,mangaid,objra,objdec,T,type,TType-cat,VI_morph,WHAN_Class
288,8258-9102,1-256301,167.2555625,44.41189145,2.052,Sab,Huertas,Spiral,LSN
289,8259-12704,1-257957,180.1605688,44.40664558,4.305,Scd,Huertas,Spiral,PSF
290,8259-6103,1-281037,178.8421258,43.76109403,-1.871,S0,Huertas,Spiral,SFBQB
291,8309-9102,1-245472,211.9485642,53.37043704,1.886,Sab,Huertas,Spiral,SFBQB
292,8311-6104,1-568584,205.28273,23.282055,4.007301331,Scd,SDSS-DeepLearning,Spiral,SFBQB
293,8312-12702,1-210923,245.2708705,39.9173908,4.742,Scd,Huertas,Spiral,SFBQB
294,8312-12704,1-633990,247.3041252,41.15087236,2.723,Sab,Huertas,Spiral,SFBQB
295,8312-12705,1-211023,247.1553761,39.69890557,3.66,Sab,Huertas,Spiral,QB
296,8312-3704,1-210754,247.1634847,39.51854615,-0.278,S0,Huertas,Spiral,LSN
297,8313-9101,1-247980,239.6975459,41.93809747,3.421,Sab,Huertas,Spiral,SFBQB
298,8313-9102,1-248357,239.9879455,41.47777513,0.399,S0,Huertas,Spiral,QB
299,8315-12703,1-322802,236.2674028,39.85983111,3.614,Sab,Huertas,Spiral,QB
300,8317-12704,1-259142,193.7039898,44.15556572,-0.289,S0,Huertas,Spiral,SFBQB
301,8317-9101,1-259175,192.4217563,44.29935845,2.457,Sab,Huertas,Spiral,SFB
302,8318-12703,1-284485,196.2324195,47.50364367,3.531,Sab,Huertas,Spiral,QB
303,8318-12704,1-284317,197.1144831,46.56960142,4.491,Scd,Huertas,Spiral,PSF
304,8318-6104,1-284525,198.3192696,47.08756163,5.018,Scd,Huertas,Spiral,SFBQB
305,8320-6101,1-523004,206.6275291,22.70601919,3.627,Sab,Huertas,Spiral,SFB
306,8322-12704,1-625154,199.0513713,30.95029902,1.397,Sab,Huertas,Spiral,SFBQB
307,8322-1901,1-625070,198.7842455,30.40377497,-0.626,S0,Huertas,Spiral,SFBQB
308,8322-6102,1-401757,200.2940658,30.33463956,4.994,Scd,Huertas,Spiral,SFBQB
309,8322-9101,1-591611,199.60756,31.46795,1.507,Sab,Huertas,Spiral,PSF
310,8323-12703,1-591308,195.41605,36.2901,2.996,Sab,Huertas,Spiral,PSF
311,8323-12705,1-624367,196.7939145,34.29800747,3.446,Sab,Huertas,Spiral,QB
312,8323-6101,1-415476,196.9784007,34.08709955,-0.851,S0,Huertas,Spiral,QB
313,8325-9101,1-235186,210.842699,48.25308539,3.084,Sab,Huertas,Spiral,QB
314,8325-9102,1-235306,211.4226539,46.4274417,-1.827,S0,Huertas,Spiral,SFBQB
315,8326-3704,1-235582,214.8502453,45.90079203,-0.577,S0,Huertas,Spiral,LSN
316,8326-6102,1-235576,215.01791,47.12133,1.404184461,Sab,SDSS-DeepLearning,Spiral,SFB
317,8326-9102,1-235611,215.940813,45.93118544,4.261,Scd,Huertas,Spiral,QB
318,8329-6104,1-592743,213.110482,45.69041012,3.006,Sab,Huertas,Spiral,SFBQB
319,8330-12703,1-285737,203.374602,40.52967029,4.311,Scd,Huertas,Spiral,PSF
320,8330-9101,1-285728,203.958723,40.27168728,4.162,Scd,Huertas,Spiral,PSF
321,8331-12702,1-285916,204.9910827,41.33807148,2.384,Sab,Huertas,Spiral,QB
322,8331-12704,1-250997,205.2510318,42.43141163,3.264,Sab,Huertas,Spiral,SFBQB
323,8331-12705,1-260534,206.3344325,41.38893083,0.9,Sab,Huertas,Spiral,QB
324,8332-12701,1-250959,206.7098914,42.65128833,4.391,Scd,Huertas,Spiral,PSF
325,8332-12702,1-251115,207.9288072,43.16660296,3.793,Sab,Huertas,Spiral,QB
326,8333-6102,1-251871,214.5067662,41.82764272,3.901,Sab,Huertas,Spiral,QB
327,8335-12705,1-251686,216.75986,39.95721,4.91,Scd,Huertas,Spiral,SFBQB
328,8335-6102,1-252094,216.9047923,40.4073058,3.552,Sab,Huertas,Spiral,PSF
329,8338-12701,1-614850,172.0511907,21.99684278,3.228,Sab,Huertas,Spiral,PSF
330,8341-12704,1-620993,189.21325,45.65117,4.973887444,Scd,SDSS-DeepLearning,Spiral,SFBQB
331,8439-12702,1-155926,141.5393071,49.31020162,0.428,S0,Huertas,Spiral,QB
332,8439-3701,1-605863,141.46005,49.329855,1.2,Sab,SDSS-DeepLearning,Spiral,QB
333,8439-6102,1-155975,142.7781675,49.07974566,-0.013,S0,Huertas,Spiral,SFBQB
334,8440-12701,1-216540,135.0651103,40.29673791,3.902,Sab,Huertas,Spiral,SFBQB
335,8440-3703,1-216958,136.2002796,40.5917215,-1.086,S0,Huertas,Spiral,SFBQB
336,8440-6102,1-216980,135.7200538,40.34668436,2.082,Sab,Huertas,Spiral,PSF
337,8442-12703,1-625180,199.17463,31.36757,4.388,Scd,Huertas,Spiral,PSF
338,8442-9102,1-625513,200.2228371,32.19076075,2.646,Sab,Huertas,Spiral,SFBQB
339,8443-6102,1-422969,207.0615655,24.77771961,-0.205,S0,Huertas,Spiral,QB
340,8443-6103,1-627397,206.7690385,24.99648302,-0.969,S0,Huertas,Spiral,QB
341,8443-9101,1-592031,206.0169835,25.66351329,3.626,Sab,Huertas,Spiral,SFB
342,8444-12703,1-422040,201.4111053,33.68043282,3.266,Sab,Huertas,Spiral,PSF
343,8445-12701,1-591917,203.95819,34.998949,4.839667797,Scd,SDSS-DeepLearning,Spiral,SFBQB
344,8445-12703,1-409272,207.1261487,35.27274808,0.83,Sab,Huertas,Spiral,PSF
345,8446-6104,1-410704,206.5414146,36.50438552,0.96,Sab,Huertas,Spiral,PSF
346,8447-12701,1-260733,208.054735,39.50147645,5.354,Scd,Huertas,Spiral,SFBQB
347,8448-12703,1-487432,166.808725,23.01924443,4.202,Scd,Huertas,Spiral,QB
348,8448-12705,1-487293,166.75565,22.29621,5.626274586,Scd,SDSS-DeepLearning,Spiral,PSF
349,8449-12701,1-488469,167.3805909,22.42800503,2.134,Sab,Huertas,Spiral,PSF
350,8449-12702,1-488790,168.3751026,23.17700621,4.573,Scd,Huertas,Spiral,PSF
351,8450-12705,1-489642,171.5780599,21.09623577,1.794,Sab,Huertas,Spiral,QB
352,8450-9102,1-491058,172.4285875,21.26002973,2.806,Sab,Huertas,Spiral,SFBQB
353,8452-12703,1-148068,156.805685,48.24479143,3.706,Sab,Huertas,Spiral,QB
354,8452-12704,1-172986,157.3570804,47.23342998,2.613,Sab,Huertas,Spiral,SFBQB
355,8452-3704,1-173030,157.5389942,47.27840298,2.965,Sab,Huertas,Spiral,SFBQB
356,8453-12701,1-147514,151.3099499,46.65088903,5.007,Scd,Huertas,Spiral,SFBQB
357,8454-12702,1-167242,153.0490211,45.14215792,0.956,Sab,Huertas,Spiral,SFBQB
358,8454-6104,1-167488,154.8254403,45.81359448,4.043,Scd,Huertas,Spiral,SFB
359,8456-12701,1-167167,151.1912857,44.70578001,4.871,Scd,Huertas,Spiral,PSF
360,8456-12703,1-147485,151.8291046,46.54643749,3.107,Sab,Huertas,Spiral,PSF
361,8456-12704,1-167337,150.8428784,45.76353607,3.055,Sab,Huertas,Spiral,PSF
362,8456-6101,1-167166,151.2209144,44.63612263,1.341,Sab,Huertas,Spiral,QB
363,8459-3703,1-166947,147.335,43.44299,4.092,Scd,Huertas,Spiral,QB
364,8461-9102,1-166703,146.2067786,42.29380429,3.946,Sab,Huertas,Spiral,PSF
365,8462-12702,1-232333,145.202128,36.45554033,3.756,Sab,Huertas,Spiral,PSF
366,8462-12705,1-606005,145.597388,36.3497095,2.578,Sab,Huertas,Spiral,QB
367,8462-1902,1-301579,146.29654,36.53427,3.56,Sab,Huertas,Spiral,LSN
368,8464-12701,1-258820,186.446891,45.9095701,4.874,Scd,Huertas,Spiral,SFBQB
369,8464-12704,1-282712,187.9368934,46.13158849,3.694,Sab,Huertas,Spiral,PSF
370,8465-12701,1-284428,195.9731683,47.38644446,4.645,Scd,Huertas,Spiral,PSF
371,8465-12705,1-285004,198.2363151,47.45662801,1.758,Sab,Huertas,Spiral,SFBQB
372,8466-9101,1-256860,170.2148472,44.59741198,3.69,Sab,Huertas,Spiral,PSF
373,8481-12701,1-90807,236.7612726,54.34090102,1.631,Sab,Huertas,Spiral,QB
374,8481-1902,1-91339,237.6538589,53.39062197,2.371,Sab,Huertas,Spiral,QB
375,8482-12703,1-93640,245.5031111,49.52078993,4.886,Scd,Huertas,Spiral,QB
376,8482-12705,1-542392,244.2167168,50.28219598,3.254,Sab,Huertas,Spiral,SFBQB
377,8482-1902,1-92547,243.1025647,48.52988604,2.019,Sab,Huertas,Spiral,SFBQB
378,8482-9101,1-92626,241.7995511,48.57256251,3.72,Sab,Huertas,Spiral,QB
379,8482-9102,1-92744,242.9558797,49.22871276,2.577,Sab,Huertas,Spiral,QB
380,8483-12705,1-93466,247.7420749,48.28031115,3.908,Sab,Huertas,Spiral,PSF
381,8484-12703,1-574355,248.78826,46.213895,5.408787727,Scd,SDSS-DeepLearning,Spiral,SFBQB
382,8485-12704,1-209287,233.6852177,48.73152156,2.648,Sab,Huertas,Spiral,PSF
383,8486-6101,1-209428,238.0395529,46.31978973,2.859,Sab,Huertas,Spiral,SFB
384,8547-12701,1-593159,217.6299707,52.70715903,-1.328,S0,Huertas,Spiral,SFBQB
385,8547-6102,1-245670,217.3248602,52.66555988,2.672,Sab,Huertas,Spiral,SFBQB
386,8547-9102,1-630590,218.9763433,53.39163684,3.252,Sab,Huertas,Spiral,SFBQB
387,8548-6102,1-93236,245.522375,46.62420849,2.267,Sab,Huertas,Spiral,SFBQB
388,8548-6104,1-93231,245.7473922,46.67532424,2.335,Sab,Huertas,Spiral,SFBQB
389,8549-12702,1-210017,241.271447,45.44299217,2.917,Sab,Huertas,Spiral,SFBQB
390,8549-3703,1-134239,241.4164424,46.84656069,2.765,Sab,Huertas,Spiral,SFBQB
391,8549-6103,1-134293,240.4187408,46.08529175,4.233,Scd,Huertas,Spiral,PSF
392,8550-12703,1-135054,247.6744302,40.52938938,2.511,Sab,Huertas,Spiral,SFBQB
393,8550-12704,1-211063,247.058406,40.31383667,2.906,Sab,Huertas,Spiral,QB
394,8552-3702,1-321979,226.135574,43.8776585,4.766,Scd,Huertas,Spiral,PSF
395,8552-9101,1-322020,226.9119302,44.55625925,-1.011,S0,Huertas,Spiral,QBSFB
396,8554-12702,1-419536,182.721538,36.54577769,3.192,Sab,Huertas,Spiral,QB
397,8554-12705,1-401919,184.9326102,35.50702159,4.874,Scd,Huertas,Spiral,SFBQB
398,8554-9101,1-419450,182.2828158,37.11086805,3.889,Sab,Huertas,Spiral,PSF
399,8555-12702,1-633832,243.9687671,44.16131928,0.616,Sab,Huertas,Spiral,SFBQB
400,8566-12703,1-43361,116.4660735,41.07568647,1.995,Sab,Huertas,Spiral,PSF
401,8567-12703,1-378715,118.3286949,50.18553928,4.874,Scd,Huertas,Spiral,PSF
402,8567-6101,1-351538,119.1451236,47.56385133,0.645,Sab,Huertas,Spiral,SFBQB
403,8567-9101,1-351506,119.2844834,47.76563742,4.621,Scd,Huertas,Spiral,PSF
404,8588-12702,1-634138,250.31305,39.29009,5.247,Scd,Huertas,Spiral,PSF
405,8588-12705,1-135383,250.3128731,39.7523514,4.285,Scd,Huertas,Spiral,PSF
406,8588-3701,1-210700,248.1405614,39.13102068,2.271,Sab,Huertas,Spiral,QB
407,8591-12701,1-245082,212.271994,53.79535532,2.084,Sab,Huertas,Spiral,PSF
408,8591-12705,1-245404,213.933247,54.04313498,5.151,Scd,Huertas,Spiral,SFBQB
409,8592-6102,1-246470,223.3207946,52.04426247,0.45,S0,Huertas,Spiral,QB
410,8595-12702,1-245980,219.6986859,51.02236282,2.745,Sab,Huertas,Spiral,PSF
411,8595-12705,1-246331,221.7865185,50.19570732,2.982,Sab,Huertas,Spiral,SFB
412,8595-3702,1-197702,219.0427607,50.51882204,3.277,Sab,Huertas,Spiral,QB
413,8595-6102,1-197704,219.593188,50.69630723,4.141,Scd,Huertas,Spiral,PSF
414,8597-12702,1-198153,224.2890789,48.63396851,3.182,Sab,Huertas,Spiral,SFBQB
415,8597-12703,1-246549,225.388974,49.11242912,4.766,Scd,Huertas,Spiral,QB
416,8597-12704,1-246525,225.6056996,48.87768742,2.777,Sab,Huertas,Spiral,QB
417,8600-12701,1-210667,245.7265122,41.52057675,2.952,Sab,Huertas,Spiral,SFBQB
418,8600-12704,1-210631,244.8829237,41.66246267,2.028,Sab,Huertas,Spiral,PSF
419,8600-3703,1-135202,245.8658724,41.70638337,-0.672,S0,Huertas,Spiral,QB
420,8600-6103,1-210593,244.4197543,41.89915449,2.188,Sab,Huertas,Spiral,QB
421,8601-12705,1-135810,250.123144,39.23511449,4.91,Scd,Huertas,Spiral,QB
422,8602-12701,1-569169,247.04817,39.821898,1.3,Sab,SDSS-DeepLearning,Spiral,SFBQB
423,8602-12705,1-211074,247.4626868,39.76651093,2.366,Sab,Huertas,Spiral,QB
424,8602-3701,1-211264,247.3615427,38.41940265,2.88,Sab,Huertas,Spiral,SFBQB
425,8603-12702,1-211227,246.869311,38.86910835,-2.376,S0,Huertas,Spiral,LSN
426,8604-12703,1-135502,247.7641748,39.83850387,0.614,Sab,Huertas,Spiral,QB
427,8606-12701,1-95585,255.0298698,37.83950214,4.151,Scd,Huertas,Spiral,SFBQB
428,8606-12705,1-176546,255.5174418,35.46315599,3.349,Sab,Huertas,Spiral,PSF
429,8612-12702,1-96075,253.9463815,39.31053643,4.647,Scd,Huertas,Spiral,SFBQB
430,8612-6104,1-95843,255.006946,38.81600935,0.628,Sab,Huertas,Spiral,SFBQB
431,8613-12702,1-136125,254.0441402,34.83651981,4.658,Scd,Huertas,Spiral,QB
432,8615-12701,1-179900,319.3895751,-0.134736114,2.67,Sab,Huertas,Spiral,SFBQB
433,8615-3701,1-550901,321.00791,-0.36632361,3.35947752,Sab,SDSS-DeepLearning,Spiral,SFBQB
434,8615-6104,1-179947,319.9018679,0.704249719,-3.735,EII,Huertas,Spiral,QB
435,8615-9102,1-180039,321.4740419,0.416058768,2.76,Sab,Huertas,Spiral,SFBQB
436,8616-12702,1-289846,322.30605,-0.29476536,4.175155163,Scd,SDSS-DeepLearning,Spiral,QB
437,8616-3704,1-180193,322.2420236,-0.342425989,1.579,Sab,Huertas,Spiral,SFBQB
438,8616-6104,1-180334,322.9805307,0.213766757,5.151,Scd,Huertas,Spiral,SFBQB
439,8623-6104,1-190574,311.7809712,0.300460704,1.831,Sab,Huertas,Spiral,SFB
440,8623-9101,1-178698,311.3473642,0.49252863,4.91,Scd,Huertas,Spiral,PSF
441,8624-9102,1-25740,263.8925814,59.88992275,1.98,Sab,Huertas,Spiral,SFBQB
442,8625-12703,1-24161,259.682229,58.13511676,2.94,Sab,Huertas,Spiral,QB
443,8625-12705,1-24375,261.706139,56.81078188,0.656,Sab,Huertas,Spiral,LSN
444,8626-12702,1-634795,263.2053621,56.90127005,1.508,Sab,Huertas,Spiral,SFBQB
445,8626-12703,1-24482,265.1087751,56.70125092,2.359,Sab,Huertas,Spiral,SFBQB
446,8626-1902,1-24246,264.84079,56.56707,2.976,Sab,Huertas,Spiral,SFBQB
447,8626-3703,1-24440,264.6625448,56.82424365,2.417,Sab,Huertas,Spiral,PSF
448,8655-3701,1-29512,356.751828,-0.447387404,-0.055,S0,Huertas,Spiral,SFBQB
449,8712-12704,1-379708,121.0548304,55.39766526,-3.347,EII,Huertas,Spiral,QB
450,8712-6102,1-567961,119.84641,53.635414,4.106784821,Scd,SDSS-DeepLearning,Spiral,PSF
451,8713-6102,1-43589,117.6026928,38.4691486,0.815,Sab,Huertas,Spiral,QB
452,8713-9102,1-71974,118.85539,39.186094,4.792650223,Scd,SDSS-DeepLearning,Spiral,SFBQB
453,8714-6101,1-44210,118.7162481,45.82255463,4.452,Scd,Huertas,Spiral,PSF
454,8715-12701,1-548157,118.3596,50.228421,4.727806568,Scd,SDSS-DeepLearning,Spiral,QB
455,8715-12705,1-378795,118.9256155,50.17277247,3.326,Sab,Huertas,Spiral,QB
456,8715-9101,1-379087,119.9101153,51.79236257,0.227,S0,Huertas,Spiral,SFBQB
457,8716-9102,1-352103,123.0396445,52.45522934,5.39,Scd,Huertas,Spiral,PSF
458,8717-9101,1-71525,118.3448525,36.27437882,2.384,Sab,Huertas,Spiral,QB
459,8718-12701,1-44303,119.1821518,44.85670853,2.453,Sab,Huertas,Spiral,SFB
460,8718-12703,1-45126,122.0688935,45.34837365,5.103,Scd,Huertas,Spiral,PSF
461,8718-6104,1-44633,121.58077,45.74343035,2.091,Sab,Huertas,Spiral,PSF
462,8718-9101,1-44634,121.7627143,45.6764275,4.586,Scd,Huertas,Spiral,SFBQB
463,8719-12702,1-44745,120.1992841,46.69052697,3.547,Sab,Huertas,Spiral,PSF
464,8719-3701,1-548190,121.33414,46.71653,1.660840154,Sab,SDSS-DeepLearning,Spiral,LSN
465,8720-1902,1-351702,122.2617494,50.17867402,1.201,Sab,Huertas,Spiral,PSF
466,8721-12705,1-48560,135.0905155,54.05224378,4.707,Scd,Huertas,Spiral,PSF
467,8721-6103,1-55572,133.1213026,56.11268849,0.853,Sab,Huertas,Spiral,QB
468,8721-9101,1-48535,134.6723823,54.21813819,3.972,Sab,Huertas,Spiral,PSF
469,8724-12701,1-47305,130.3352461,53.93865146,4.827,Scd,Huertas,Spiral,SFBQB
470,8725-3703,1-73009,125.8209596,45.89686489,3.781,Sab,Huertas,Spiral,SFBQB
471,8725-6102,1-73001,125.4590399,45.51963572,3.804,Sab,Huertas,Spiral,SFBQB
472,8726-12701,1-163516,115.71704,22.11273,5.398487091,Scd,SDSS-DeepLearning,Spiral,SFBQB
473,8726-12702,1-217637,116.1838169,22.16017867,2.662,Sab,Huertas,Spiral,SFBQB
474,8727-9102,1-51826,55.13062201,-6.439925088,3.83,Sab,Huertas,Spiral,PSF
475,8728-12701,1-51939,57.72957495,-7.060647007,2.987,Sab,Huertas,Spiral,SFBQB
476,8931-12702,1-622911,192.7649442,27.36996624,4.395,Scd,Huertas,Spiral,SFBQB
477,8931-12704,1-456341,194.5065033,27.48967595,0.293,S0,Huertas,Spiral,LSN
478,8931-9101,1-455633,193.0738357,27.08555223,2.074,Sab,Huertas,Spiral,SFBQB
479,8932-12701,1-456376,194.1191224,27.29124638,5.318,Scd,Huertas,Spiral,PSF
480,8932-12704,1-457200,196.4728711,28.11243441,3.332,Sab,Huertas,Spiral,PSF
481,8934-12701,1-403703,196.1627918,28.62890384,4.899,Scd,Huertas,Spiral,PSF
482,8934-12702,1-456984,195.35885,27.885985,3.052526236,Sab,SDSS-DeepLearning,Spiral,QB
483,8935-6104,1-457196,195.5329081,27.64831391,-0.356,S0,Huertas,Spiral,SFBQB
484,8936-3703,1-604846,117.54378,30.68509,4.368,Scd,Huertas,Spiral,PSF
485,8938-12702,1-201756,120.8143845,30.79651084,3.745,Sab,Huertas,Spiral,QB
486,8938-3701,1-201798,120.1476042,30.40174788,-2.697,S0,Huertas,Spiral,SFBQB
487,8939-12703,1-298868,125.6032737,25.50907914,2.246,Sab,Huertas,Spiral,QB
488,8940-12702,1-163966,120.0874176,26.6135273,-2.508,S0,Huertas,Spiral,SFBQB
489,8940-9101,1-163959,119.9838849,26.38296615,3.002,Sab,Huertas,Spiral,PSF
490,8941-1901,1-146247,120.7239767,28.45712478,5.295,Scd,Huertas,Spiral,QB
491,8941-6103,1-163908,121.3313033,27.07113401,4.969,Scd,Huertas,Spiral,PSF
492,8942-12702,1-218280,124.0033097,27.0758952,3.143,Sab,Huertas,Spiral,QB
493,8942-6102,1-218412,124.2674797,28.31508902,3.355,Sab,Huertas,Spiral,PSF
494,8943-3702,1-558139,155.62507,36.599312,4.187556744,Scd,SDSS-DeepLearning,Spiral,QB
495,8945-12701,1-588617,171.8980809,47.37939497,2.589,Sab,Huertas,Spiral,PSF
496,8945-6104,1-279675,174.1281156,47.81722631,-2.028,S0,Huertas,Spiral,QB
497,8946-6101,1-278221,168.7520935,46.63452513,-0.895,S0,Huertas,Spiral,SFBQB
498,8947-12703,1-174618,172.8866862,49.85750356,4.177,Scd,Huertas,Spiral,QB
499,8947-12704,1-149147,171.1026539,51.23494063,-0.233,S0,Huertas,Spiral,QB
500,8947-1901,1-149572,171.3836994,51.18040881,3.336,Sab,Huertas,Spiral,SFBQB
501,8947-9101,1-149200,168.7345056,50.33487297,2.696,Sab,Huertas,Spiral,SFBQB
502,8948-12702,1-148954,164.9711027,50.01520096,2.253,Sab,Huertas,Spiral,QB
503,8948-12704,1-173958,167.3060196,49.5194324,2.845,Sab,Huertas,Spiral,SFBQB
504,8950-1901,1-456687,194.8195129,27.10612979,3.686,Sab,Huertas,Spiral,SFB
505,8952-12701,1-626830,204.6838316,26.32853817,3.351,Sab,Huertas,Spiral,QB
506,8952-6103,1-626829,204.6741792,27.74241086,2.285,Sab,Huertas,Spiral,SFBQB
507,8977-12705,1-153246,119.0443575,33.2450541,3.813,Sab,Huertas,Spiral,PSF
508,8977-6103,1-604824,116.7539488,34.30028473,3.771,Sab,Huertas,Spiral,QB
509,8978-9101,1-135044,247.9079959,41.4936431,2.271,Sab,Huertas,Spiral,SFBQB
510,8979-12701,1-210173,241.341763,42.48831227,4.071,Scd,Huertas,Spiral,QB
511,8979-3704,1-210461,244.4229653,40.93381763,-1.852,S0,Huertas,Spiral,SFBQB
512,8979-6102,1-248420,241.8233892,41.40360426,5.27,Scd,Huertas,Spiral,SFBQB
513,8980-12704,1-236133,225.59269,41.92164,3.821,Sab,Huertas,Spiral,PSF
514,8980-12705,1-235988,223.9840927,42.15978259,3.488,Sab,Huertas,Spiral,PSF
515,8982-12703,1-395528,203.8066634,27.63003609,4.862,Scd,Huertas,Spiral,PSF
516,8982-6104,1-626502,203.0570626,26.94998106,2.662,Sab,Huertas,Spiral,SFBQB
517,8982-9102,1-626395,202.6892,26.52161,4.568,Scd,Huertas,Spiral,PSF
518,8983-12701,1-626658,203.8302081,26.42478084,1.722,Sab,Huertas,Spiral,SFBQB
519,8983-12705,1-626684,203.9100443,25.87523738,4.611,Scd,Huertas,Spiral,SFBQB
520,8983-3703,1-458396,205.438407,27.00473778,4.706,Scd,Huertas,Spiral,SFBQB
521,8983-3704,1-423024,206.0079498,25.94119866,2.264,Sab,Huertas,Spiral,SFBQB
522,8983-9101,1-568624,205.1294,26.307357,2.452629089,Sab,SDSS-DeepLearning,Spiral,SFBQB
523,8984-12704,1-395533,203.9376877,27.86760478,4.755,Scd,Huertas,Spiral,SFBQB
524,8985-12702,1-415939,204.8595839,31.20799938,1.896,Sab,Huertas,Spiral,QB
525,8985-12703,1-420924,204.5543592,32.82284388,3.398,Sab,Huertas,Spiral,SFBQB
526,8985-6102,1-420636,205.076051,32.1531397,4.44,Scd,Huertas,Spiral,PSF
527,8985-6104,1-627238,206.1984171,31.6156729,1.36,Sab,Huertas,Spiral,SFBQB
528,8985-9102,1-416039,205.8733962,31.00321782,4.624,Scd,Huertas,Spiral,QB
529,8987-12702,1-386453,136.1381993,28.34986231,3.343,Sab,Huertas,Spiral,PSF
530,8987-3703,1-386452,136.2283393,28.3843145,-2.137,S0,Huertas,Spiral,SFBQB
531,8987-6104,1-386822,137.1185688,28.91103516,2.724,Sab,Huertas,Spiral,SFBQB
532,8987-9102,1-386695,137.9835056,27.8992697,2.137,Sab,Huertas,Spiral,PSF
533,8989-1901,1-149758,176.0842643,51.01933033,3.254,Sab,Huertas,Spiral,PSF
534,8989-3703,1-617323,177.4403602,50.52701641,-1.453,S0,Huertas,Spiral,SFBQB
535,8989-9101,1-174947,176.3587338,49.87904056,-0.404,S0,Huertas,Spiral,QB
536,8992-3702,1-149561,171.6572619,51.57304126,2.048,Sab,Huertas,Spiral,SFBQB
537,8992-6101,1-149536,172.1044999,51.02835289,-1.191,S0,Huertas,Spiral,SFBQB
538,8992-6103,1-149471,173.0378439,50.76553501,-0.084,S0,Huertas,Spiral,QB
539,8993-12701,1-612080,164.8639457,46.12238958,3.009,Sab,Huertas,Spiral,QB
540,8993-12702,1-277300,165.0474517,45.73782647,3.675,Sab,Huertas,Spiral,QB
541,8995-12705,1-150370,177.8445354,53.44418929,-1.917,S0,Huertas,Spiral,QB
542,8995-3702,1-188548,175.5340603,55.42360125,3.963,Sab,Huertas,Spiral,LSN
543,8996-6102,1-187394,173.0009117,53.71410095,1.325,Sab,Huertas,Spiral,PSF
544,8997-3701,1-149170,170.5622762,50.74233595,2.22,Sab,Huertas,Spiral,SFBQB
545,9002-12704,1-314817,224.7371954,31.7866498,4.383,Scd,Huertas,Spiral,SFBQB
546,9024-12705,1-314409,223.8674592,32.84002812,4.827,Scd,Huertas,Spiral,SFBQB
547,9024-9101,1-262322,224.024527,34.48183067,2.49,Sab,Huertas,Spiral,QB
548,9025-12704,1-633942,246.0507636,30.16226141,4.477,Scd,Huertas,Spiral,SFBQB
549,9025-1902,1-324033,246.358197,30.30944782,3.744,Sab,Huertas,Spiral,SFBQB
550,9025-3702,1-272047,245.8773622,30.19768861,4.537,Scd,Huertas,Spiral,SFBQB
551,9025-3703,1-594452,246.3161955,30.32413739,4.131,Scd,Huertas,Spiral,QB
552,9025-6104,1-272639,247.3612662,29.54112602,2.945,Sab,Huertas,Spiral,SFBQB
553,9026-12702,1-94748,249.5250825,43.82611815,5.427,Scd,Huertas,Spiral,PSF
554,9026-12705,1-94696,251.4584885,43.86647309,-0.737,S0,Huertas,Spiral,QB
555,9026-9101,1-94784,249.3184192,44.41822961,-2.345,S0,Huertas,Spiral,SFBQB
556,9027-12704,1-323794,245.3466469,32.34901365,3.326,Sab,Huertas,Spiral,SFBQB
557,9028-12701,1-269179,242.1009587,29.75483435,3.063,Sab,Huertas,Spiral,SFBQB
558,9028-12702,1-633759,242.9750663,30.33278322,3.215,Sab,Huertas,Spiral,QB
559,9028-12704,1-633815,243.61579,29.973833,4.709045887,Scd,SDSS-DeepLearning,Spiral,QB
560,9029-12704,1-135285,247.2169531,42.81201135,2.963,Sab,Huertas,Spiral,SFBQB
561,9029-12705,1-135078,247.57942,41.102079,5.612198353,Scd,SDSS-DeepLearning,Spiral,QB
562,9029-6102,1-594453,246.3929149,41.6813939,3.287,Sab,Huertas,Spiral,PSF
563,9033-12705,1-576436,224.0181831,45.40526587,2.819,Sab,Huertas,Spiral,SFBQB
564,9033-9102,1-321725,223.3526193,46.48558549,2.472,Sab,Huertas,Spiral,PSF
565,9034-12705,1-198664,227.5366807,46.10468066,2.721,Sab,Huertas,Spiral,SFBQB
566,9035-12705,1-247739,236.3775268,44.01637903,4.475,Scd,Huertas,Spiral,PSF
567,9038-12703,1-248056,238.7463314,42.10536912,2.61,Sab,Huertas,Spiral,SFBQB
568,9041-12703,1-264254,234.6793022,30.67128856,3.915,Sab,Huertas,Spiral,SFBQB
569,9042-12702,1-375213,232.096991,28.22947097,3.626,Sab,Huertas,Spiral,SFBQB
570,9042-12703,1-316872,235.1526786,28.51243552,2.621,Sab,Huertas,Spiral,SFBQB
571,9042-6101,1-375134,232.5510737,27.13411679,0.91,Sab,Huertas,Spiral,SFBQB
572,9043-12704,1-632653,231.34751,29.17189,4.943,Scd,Huertas,Spiral,PSF
573,9045-12704,1-315206,227.9014183,31.71314508,2.359,Sab,Huertas,Spiral,SFBQB
574,9045-9101,1-631890,227.2002436,30.17055255,-0.8,S0,Huertas,Spiral,PSF
575,9047-12703,1-269638,247.6884257,26.09524954,5.007,Scd,Huertas,Spiral,QB
576,9048-12704,1-295955,244.6986576,25.18873828,5.054,Scd,Huertas,Spiral,PSF
577,9048-9101,1-296334,245.0567109,25.71008745,1.872,Sab,Huertas,Spiral,SFBQB
578,9049-12702,1-295476,247.929085,25.2941089,5.27,Scd,Huertas,Spiral,SFBQB
