plateifu,mangaid,objra,objdec,VI_morph,DR
8935-1902,1-457206,196.4535719,28.10652776,S0,16
8936-9102,1-152777,117.116454,30.06909616,S0,16
8940-3701,1-218077,120.2511759,24.63987389,S0,16
8941-1902,1-163917,120.3116394,26.33317649,S0,16
8943-12701,1-392720,156.0250586,35.8187952,S0,16
8945-1901,1-279544,172.3657294,47.69629348,S0,16
8946-3701,1-279147,168.9577269,46.31956445,S0,16
8946-6102,1-279532,170.8082726,46.99780245,S0,16
8948-1901,1-587930,165.73913,50.670235,S0,16
8948-3704,1-148893,166.4085637,50.35042308,S0,16
8949-6102,1-623758,195.2946151,27.80288541,S0,16
8950-12703,1-456610,194.874839,27.95644971,S0,16
8950-1902,1-456308,194.8071141,27.40254478,S0,16
8952-3704,1-458209,206.0857212,26.08419205,S0,16
8978-6103,1-94422,250.4532032,41.81873748,S0,16
8979-1901,1-248443,242.3186184,41.74572779,S0,16
8980-3702,1-236045,225.6764531,43.24241566,S0,16
8982-1901,1-458044,202.0570284,26.45654088,S0,16
8985-3702,1-420908,204.0826618,32.87509535,S0,16
8989-3701,1-174979,176.9543568,50.40535022,S0,16
8990-1901,1-174623,172.9290515,49.28323849,S0,16
8990-6102,1-174826,173.6790713,49.0908237,S0,16
8990-6103,1-589092,174.72712,49.66036,S0,16
8992-1902,1-149501,173.721052,51.09146236,S0,16
8992-3701,1-149496,172.6219317,50.76527092,S0,16
8996-3702,1-187429,172.3306157,54.12608477,S0,16
8996-3704,1-149709,173.4128685,52.67458671,S0,16
8997-3703,1-149589,170.7234497,51.3417778,S0,16
8999-12702,1-148652,163.9617276,49.67810333,S0,16
8999-6101,1-148649,164.0004849,49.952908,S0,16
9026-1902,1-94773,249.3024271,44.08551071,S0,16
9026-9102,1-94720,250.8636141,43.35318046,S0,16
9033-6102,1-198007,223.0146622,47.07780105,S0,16
9035-3704,1-247675,236.6776249,43.37247911,S0,16
9037-3704,1-199454,235.1766583,43.75125249,S0,16
9039-9102,1-593805,230.5224906,33.14859447,S0,16
9041-12704,1-264488,237.151494,29.00190102,S0,16
9043-1902,1-632488,230.56456,27.699703,S0,16
9044-1902,1-632365,230.3032996,30.65792656,S0,16
9044-3701,1-632371,230.3101815,30.52305187,S0,16
9045-1902,1-315099,228.6327171,31.03095209,S0,16
9049-3704,1-295155,247.5306506,23.92595754,S0,16
9050-12705,1-295183,246.3073136,23.69994733,S0,16
9085-1901,1-177972,259.3564005,29.18554796,S0,16
9181-9101,1-71763,118.9382788,37.82156342,S0,16
9182-3703,1-72199,121.2724092,40.1745642,S0,16
9185-6101,1-561034,257.49138,34.370153,S0,16
9193-3702,1-37813,46.52125865,-0.53404909,S0,16
9196-1902,1-24553,261.10511,53.51792,S0,16
9196-3703,1-24661,262.3890816,54.30986001,S0,16
9486-6102,1-122361,122.3806437,39.80187983,S0,16
9487-3702,1-574506,123.33054,46.147157,S0,16
9487-9101,1-45179,123.5711965,46.01033153,S0,16
9488-6101,1-384171,125.6496557,20.99616555,S0,16
9490-3701,1-383608,122.3522585,19.62819733,S0,16
9491-3703,1-383214,120.4040529,18.88516844,S0,16
9492-3704,1-297846,116.9191707,18.47855339,S0,16
9497-1902,1-556829,117.50503,19.495915,S0,16
9502-3704,1-385108,129.4954628,25.04878086,S0,16
9505-6101,1-387035,139.854368,26.90892847,S0,16
9506-1902,1-386154,133.5751216,26.50611851,S0,16
9508-12703,1-298950,127.374084,26.54996094,S0,16
9509-3704,1-230100,122.7356208,25.68471302,S0,16
9512-6102,1-53916,139.357447,1.288343214,S0,16
9863-12702,1-456589,194.8340936,27.88600975,S0,16
9863-12705,1-456639,195.1354777,27.76614005,S0,16
9863-1901,1-591255,195.0536034,28.07550107,S0,16
9863-3704,1-456418,193.1711783,26.36582117,S0,16
9863-6101,1-455924,192.9324389,27.96282224,S0,16
9868-6103,1-321170,218.6626311,47.96833323,S0,16
9869-9102,1-135524,247.2566077,40.5348708,S0,16
9870-6101,1-199360,233.0662551,43.62936131,S0,16
9876-3704,1-457163,195.5043539,27.65298985,S0,16
9881-12704,1-523188,205.3262164,24.49620066,S0,16
9881-3703,1-458301,204.8913664,25.55609869,S0,16
9881-3704,1-568583,205.35571,23.247487,S0,16
9881-6101,1-523206,205.5431715,24.55791642,S0,16
9883-3703,1-176928,256.4620651,32.97538651,S0,16
9888-3701,1-593989,236.00803,27.699311,S0,16
10001-6102,1-48116,132.6539917,57.35966754,Spiral,16
10001-9101,1-48189,133.8780968,57.56454487,Spiral,16
