plateifu,mangaid,objra,objdec,VI_morph,DR,MaNGA ID,Mass,Re,Ha_morph,Notes,Arm_rot,Ba_len,Ba_PA,HA_len,HA_PA
8566-12703,1-43361,116.4660735,41.07568647,Spiral,16,8566-12703,0.28,4.3,12,--,3,3.7,156.0,2.9,153.4
8567-12703,1-378715,118.3286949,50.18553928,Spiral,16,8567-12703,0.36,11.2,1,--,3,0.8,170.4,1.1,146.9
8567-9101,1-351506,119.2844834,47.76563742,Spiral,16,8567-9101,0.13,7.4,1,--,3,3.3,18.1,1.9,22.2
8591-12701,1-245082,212.271994,53.79535532,Spiral,16,8591-12701,0.29,8.6,1,--,3,5.9,135.2,3.0,123.8
8591-12705,1-245404,213.933247,54.04313498,Spiral,16,8591-12705,2.3,9.5,124,--,1,4.6,61.2,0.4,--
8600-12704,1-210631,244.8829237,41.66246267,Spiral,16,8600-12704,0.56,9.3,1234,--,2,6.0,49.6,6.8,48.5
8615-3701,1-550901,321.00791,-0.36632361,Spiral,16,8615-3701,2.4,3.0,12,--,1,4.3,63.3,4.3,67.7
8623-9101,1-178698,311.3473642,0.49252863,Spiral,16,8623-9101,0.05,7.8,1,--,2,1.6,33.2,0.3,14.4
8712-6102,1-567961,119.84641,53.635414,Spiral,16,8712-6102,1.93,5.7,1,--,2,5.8,47.7,3.2,48.5
8716-9102,1-352103,123.0396445,52.45522934,Spiral,16,8716-9102,0.32,7.6,123,--,--,1.0,89.0,--,--
8718-12703,1-45126,122.0688935,45.34837365,Spiral,16,8718-12703,0.22,5.9,1,--,3,2.2,64.1,3.7,43.7
8720-1902,1-351702,122.2617494,50.17867402,Spiral,16,8720-1902,0.17,2.8,1,--,3,1.1,47.6,0.7,19.2
8721-12705,1-48560,135.0905155,54.05224378,Spiral,16,8721-12705,0.26,5.5,1,--,3,9.5,95.9,5.1,109.4
8727-9102,1-51826,55.13062201,-6.439925088,Spiral,16,8727-9102,0.19,7.0,1,--,2,1.6,45.7,1.2,36.6
8935-6104,1-457196,195.5329081,27.64831391,Spiral,16,8935-6104,0.92,6.5,1,--,1,2.4,19.1,1.7,32.1
8942-6102,1-218412,124.2674797,28.31508902,Spiral,16,8942-6102,0.2,5.6,13,--,3,1.5,114.6,1.1,93.1
8945-12701,1-588617,171.8980809,47.37939497,Spiral,16,8945-12701,0.46,9.4,1,--,1,1.3,148.1,1.3,159.1
8977-12705,1-153246,119.0443575,33.2450541,Spiral,16,8977-12705,0.05,8.4,1,--,3,2.9,116.8,3.6,102.2
8980-12704,1-236133,225.59269,41.92164,Spiral,16,8980-12704,0.05,12.7,1,--,3,1.9,160.4,--,--
8982-12703,1-395528,203.8066634,27.63003609,Spiral,16,8982-12703,0.15,11.6,1,--,1,1.6,106.1,1.1,128.1
8987-12702,1-386453,136.1381993,28.34986231,Spiral,16,8987-12702,0.32,11.6,1,--,3,2.7,103.3,3.0,94.5
8996-6102,1-187394,173.0009117,53.71410095,Spiral,16,8996-6102,0.22,9.4,1,--,1,1.1,71.5,1.4,70.9
9028-12702,1-633759,242.9750663,30.33278322,Spiral,16,9028-12702,1.7,8.9,124,--,3,3.4,99.9,1.6,95.1
9033-9102,1-321725,223.3526193,46.48558549,Spiral,16,9033-9102,0.61,8.2,123,--,1,4.2,51.9,2.9,64.9
9035-12705,1-247739,236.3775268,44.01637903,Spiral,16,9035-12705,0.15,6.2,1,--,1,3.4,36.1,2.7,42.6
9185-12705,1-547339,258.5824636,33.54888464,Spiral,16,9185-12705,0.21,4.6,1,--,2,2.3,104.1,3.5,83.5
9193-12702,1-37822,46.37325449,-0.381932334,Spiral,16,9193-12702,0.25,15.4,12,tidal interacti,&      2,&,112,0,81.5
9486-12702,1-72207,121.1295952,40.20604481,Spiral,16,9486-12702,2.82,13.4,125,--,2,9.0,51.9,5.8,44.6
9487-3704,1-44974,123.6620484,44.39464312,Spiral,16,9487-3704,0.11,5.0,1,--,1,1.7,46.7,1.5,32.8
9490-12702,1-382980,121.1375351,19.85125851,Spiral,16,9490-12702,0.53,6.4,1,--,3,6.4,27.2,--,--
9492-9102,1-382306,118.2136837,17.56001892,Spiral,16,9492-9102,0.18,7.1,12,--,3,0.7,115.2,2.0,105.6
9505-12704,1-387161,139.0781202,28.88907387,Spiral,16,9505-12704,0.35,11.0,1,--,2,0.9,105.5,1.6,95.8
9871-12705,1-593702,228.37217,42.330255,Spiral,16,9871-12705,1.91,9.4,1,--,2,1.4,148.6,2.0,138.5
9876-6101,1-623893,195.5532271,28.21485166,Spiral,16,9876-6101,0.45,5.7,1,--,2,3.1,95.6,1.4,99.9
10217-6103,1-412058,117.993013365,15.7114103805,S0,17,10217-6103,0.93,3.9,12,--,1,7.1,132.8,2.9,135.1
10498-12702,1-385365,131.292796969,25.9615954263,Spiral,17,10498-12702,0.2,8.6,1,--,1,2.9,33.7,1.6,28.8
10499-12705,1-299713,132.75026555,29.1819477423,Spiral,17,10499-12705,0.59,13.3,12,--,2,5.3,81.0,4.2,71.2
10503-12701,1-79952,158.92625,5.61596,Spiral,17,10503-12701,0.2,10.3,1,--,2,4.2,41.8,1.7,163.2
10508-12701,1-150991,182.027687739,52.3391185232,Spiral,17,10508-12701,2.05,8.5,123,--,1,6.2,135.8,6.2,126.4
10509-3701,1-278159,166.871220787,46.354465407,Spiral,17,10509-3701,0.18,4.4,1,--,3,3.8,127.1,3.0,54.4
10514-12704,1-78029,145.613449472,3.34728135553,Spiral,17,10514-12704,0.18,9.6,12,--,2,0.2,--,3.0,45.4
8079-12704,1-37069,41.9370732132,0.414182221714,Spiral,17,8079-12704,2.64,14.9,125,--,2,1.7,67.0,1.4,54.1
8328-12704,1-286265,209.396814741,45.0839740105,Spiral,17,8328-12704,0.18,5.1,13,--,2,3.5,79.7,3.5,107.6
8656-6102,1-31271,7.55605935585,-0.707838371408,Spiral,17,8656-6102,0.23,3.7,1,--,2,2.1,71.2,2.5,73.9
8657-12704,1-32058,10.4083294322,0.257635351637,Spiral,17,8657-12704,0.05,8.4,1,--,3,3.0,97.1,3.0,110.5
8723-6101,1-352796,128.09414579,55.8608823491,Spiral,17,8723-6101,0.44,6.7,1,--,1,1.3,138.1,2.1,137.7
8986-6104,1-146352,119.903377344,28.8637979523,Spiral,17,8986-6104,0.21,6.6,1,--,3,1.9,119.2,1.9,114.6
8988-12705,1-397639,185.791254618,39.8890963316,Spiral,17,8988-12705,0.39,10.8,1,--,2,2.1,24.5,2.1,17.7
9001-6101,1-149066,165.824332177,50.7832536266,Spiral,17,9001-6101,0.1,6.0,1,--,2,2.5,95.7,2.2,88.2
9489-3703,1-605216,126.121090369,21.0445219725,Spiral,17,9489-3703,0.14,4.4,1,--,3,3.2,115.3,3.2,126.2
9882-6102,1-523039,206.658532827,23.1961145891,Spiral,17,9882-6102,0.12,6.7,1,--,1,1.1,36.7,1.1,91.5
9889-1902,1-440292,234.858600293,24.9435693831,Spiral,17,9889-1902,0.29,3.3,1,tidal interacti,2,2.9,104.8,2.4,161.4
9890-12705,1-316607,233.520461477,29.9068817249,Spiral,17,9890-12705,0.14,7.9,1,--,3,2.6,65.6,2.6,64.8
9894-12701,1-294489,250.312960997,20.752210151,Spiral,17,9894-12701,0.27,10.4,1,--,3,3.6,131.4,3.9,136.2
