VC_orien,VC_morph,M_halo,Sigma,PLATEIFU,MANGAID,OBJRA,OBJDEC,MNGTARG1,MNGTARG3,Z,NSA_SERSIC_N,STELLAR_VEL_LO,STELLAR_VEL_HI,STELLAR_VEL_LO_CLIP,STELLAR_VEL_HI_CLIP,HA_Z,HA_GVEL_LO,HA_GVEL_HI,HA_GVEL_LO_CLIP,HA_GVEL_HI_CLIP,HA_GSIGMA_1RE,HA_GSIGMA_HI,HA_GSIGMA_HI_CLIP,SFR_1RE,SFR_TOT
1,3,-999.0,0.12679,8982-12704,1-458105,203.38774,26.271976,4224,0,0.0368414,2.26613,-73.22214,129.13522,-63.871605,118.48799,0.036931816,-237.29733,313.74252,-230.857,306.2332,74.91587,436.36243,141.22955,0.06092634,0.07396008
3,3,-999.0,-999.0,8614-3703,1-546819,257.00137,36.34442,1040,0,0.0362362,4.56483,-51.863907,21.823954,-51.635002,21.831778,0.036305126,-238.87094,191.95699,-238.87094,191.95699,211.88528,262.06183,192.36707,0.13133214,0.13567348
1,3,11.7055,0.10545,8244-6102,1-47136,130.76636,51.325653,4288,0,0.0304809,1.98994,-123.937546,115.7181,-122.807755,112.13163,0.030407868,-160.0507,145.48782,-160.07466,142.0482,58.046085,130.16498,85.7007,0.08971832,0.1181707
4,2,11.8107,0.07784,10844-1901,1-77933,144.57672,4.09397,4112,0,0.022990607,1.4297433,-127.82185,67.843124,-127.82185,67.843124,0.022964574,-135.49554,94.3681,-135.49554,94.3681,67.54406,96.01576,95.57096,0.058041345,0.063797325
1,2,12.9686,0.1881,8997-12704,1-149454,170.16278,52.625042,1040,0,0.0483296,2.30031,-232.10274,255.2353,-230.55986,253.29173,0.048393235,-330.317,353.70288,-327.2115,350.6569,68.99569,525.26794,118.88774,0.21958834,0.31085274
1,2,11.9368,0.0,9193-12701,1-37440,45.954624,-1.10375,0,6,0.0136253,3.47454,-57.59076,56.64689,-57.59076,56.64689,0.013629057,-136.3299,144.88506,-135.9943,143.08838,104.31882,202.31021,129.82773,0.048370954,0.049822897
1,2,12.8183,0.02855,8155-6101,1-38521,53.814114,-1.2286092,1040,0,0.03707,3.25944,-136.921,141.75449,-136.921,141.75449,0.037156776,-203.05879,193.57808,-200.97949,192.12498,146.81786,322.24197,193.07048,0.03300984,0.04382508
3,3,12.6788,0.00226,8082-6102,1-38167,49.945915,0.58458,4160,0,0.0241663,6.0,-104.28562,132.33981,-104.28562,132.33981,0.024087295,-380.3454,7.7541065,-380.36096,-1.1129869,196.42749,346.28906,187.9094,0.03155435,0.04332155
3,2,11.5834,0.0183,10504-9101,1-300699,139.86383,33.790894,4160,0,0.0193122,3.16168,-103.11975,107.92763,-102.49016,103.4188,0.019273551,-318.91766,121.14168,-120.15438,116.16659,76.28644,306.47592,140.86157,0.05273858,0.06078519
1,3,12.4202,0.62091,8441-12704,1-252522,223.58076,38.808323,1088,0,0.0289716,5.64208,-193.41199,211.17514,-193.41199,211.17514,0.02904599,-276.91867,286.20093,-269.30487,284.0712,72.0677,427.89627,122.561165,0.06006945,0.0849544
1,3,12.031,0.06024,8336-12701,1-313054,210.37105,37.64715,2080,0,0.0546177,2.08981,-221.68294,166.14523,-177.4082,165.85445,0.05455762,-268.2641,244.61742,-229.33983,228.25322,81.82423,255.7402,142.83669,0.018369269,0.03863663
4,2,14.3081,0.19472,11979-12702,1-273092,252.55943,23.441387,1040,0,0.033734854,4.541147,-147.35345,114.83351,-147.1969,114.566376,0.033686556,-238.29976,226.2465,-238.29976,226.2465,115.4278,274.766,170.69685,0.05862816,0.07941876
